iter	Passed	Remaining
0	1	1106
1	1	916
2	2	841
3	3	834
4	4	826
5	4	820
6	5	812
7	6	797
8	7	790
9	7	785
10	8	782
11	9	777
12	10	764
13	10	760
14	11	753
15	12	750
16	13	757
17	13	760
18	14	758
19	15	761
20	16	758
21	17	759
22	17	762
23	18	763
24	19	764
25	20	763
26	21	770
27	22	778
28	25	850
29	26	852
30	27	849
31	27	845
32	28	841
33	29	844
34	30	839
35	31	837
36	32	834
37	32	830
38	33	827
39	34	822
40	34	817
41	35	814
42	36	811
43	37	809
44	38	817
45	40	834
46	41	849
47	42	845
48	43	843
49	44	839
50	44	835
51	45	831
52	46	828
53	47	824
54	47	820
55	48	817
56	49	812
57	49	808
58	50	803
59	51	802
60	52	801
61	52	799
62	53	799
63	54	800
64	55	804
65	56	804
66	57	803
67	58	800
68	59	798
69	59	795
70	60	793
71	61	790
72	62	788
73	62	785
74	63	781
75	64	778
76	64	776
77	65	774
78	66	773
79	67	772
80	68	777
81	69	781
82	70	777
83	71	776
84	71	774
85	72	772
86	73	770
87	74	768
88	74	766
89	75	763
90	76	761
91	76	758
92	77	755
93	78	752
94	78	751
95	79	748
96	80	744
97	80	743
98	81	741
99	82	741
100	83	740
101	83	739
102	84	736
103	85	735
104	86	733
105	86	731
106	87	729
107	88	728
108	88	727
109	89	725
110	90	724
111	91	722
112	91	720
113	92	719
114	93	716
115	93	715
116	94	712
117	95	711
118	96	711
119	96	709
120	97	708
121	98	706
122	98	704
123	99	703
124	100	701
125	100	699
126	101	697
127	102	695
128	102	694
129	103	692
130	104	691
131	104	689
132	105	687
133	106	686
134	106	685
135	107	683
136	108	681
137	108	680
138	109	678
139	110	676
140	111	676
141	111	674
142	112	673
143	113	672
144	114	673
145	114	672
146	115	670
147	116	669
148	117	668
149	117	667
150	118	665
151	119	664
152	119	663
153	120	661
154	121	659
155	121	658
156	122	657
157	123	655
158	123	654
159	124	653
160	124	650
161	125	649
162	126	647
163	126	647
164	127	646
165	128	646
166	129	645
167	130	644
168	130	643
169	131	641
170	132	640
171	132	639
172	133	638
173	134	637
174	134	635
175	135	635
176	136	634
177	137	633
178	137	632
179	138	631
180	139	630
181	139	629
182	140	628
183	141	626
184	142	626
185	142	625
186	143	624
187	144	623
188	145	622
189	145	620
190	146	619
191	146	618
192	147	617
193	148	616
194	149	615
195	149	614
196	150	612
197	151	611
198	151	610
199	152	609
200	153	608
201	153	607
202	154	606
203	155	605
204	155	604
205	156	603
206	157	602
207	158	603
208	159	603
209	160	602
210	160	601
211	161	600
212	162	599
213	163	598
214	163	597
215	164	597
216	165	596
217	165	595
218	166	594
219	167	593
220	168	592
221	168	591
222	169	590
223	170	588
224	170	587
225	171	586
226	171	585
227	172	585
228	173	585
229	174	585
230	175	584
231	176	583
232	177	582
233	177	581
234	178	580
235	178	579
236	179	578
237	180	576
238	180	575
239	181	574
240	182	573
241	182	572
242	183	570
243	184	570
244	184	569
245	185	568
246	186	567
247	186	566
248	187	565
249	188	565
250	189	566
251	190	566
252	191	565
253	192	565
254	193	564
255	193	563
256	194	562
257	195	561
258	196	561
259	196	560
260	197	559
261	198	558
262	198	557
263	199	556
264	200	555
265	200	554
266	201	553
267	202	553
268	203	553
269	205	555
270	206	555
271	207	554
272	208	554
273	208	553
274	209	552
275	210	551
276	210	550
277	211	549
278	212	548
279	213	547
280	213	546
281	214	545
282	214	544
283	215	543
284	216	542
285	217	542
286	218	542
287	219	543
288	221	543
289	222	544
290	223	543
291	223	542
292	224	542
293	225	541
294	226	540
295	227	540
296	227	538
297	228	538
298	229	537
299	229	535
300	230	534
301	231	533
302	232	534
303	233	533
304	234	533
305	235	533
306	237	535
307	237	534
308	238	534
309	239	533
310	240	532
311	241	531
312	241	530
313	242	529
314	242	528
315	243	527
316	244	526
317	245	525
318	245	524
319	246	524
320	247	524
321	248	524
322	250	524
323	251	525
324	252	524
325	253	524
326	254	523
327	255	522
328	255	521
329	256	520
330	257	519
331	257	518
332	258	517
333	259	517
334	259	516
335	260	514
336	261	513
337	262	513
338	263	513
339	264	513
340	265	513
341	267	514
342	268	515
343	269	514
344	270	513
345	271	513
